date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20160104,17752,0,25774,18617,23144,6690586.5,578599.5
20160105,11629.5,0,25347,20608.5,22820,6794326.5,600195
20160106,6871,0,25235,16222.5,20882,6075386.5,597437
20160107,9028.5,0,25130,17119.5,21980,8351378,833078.5
20160108,22167.5,0,24626,31650.5,35048,7262904,652075.5
20160111,19166,0,24237.5,25823.5,30450,6598975,694463.5
20160112,33311.5,0,24122,22817.5,26647,5975487,602556.5
20160113,29932.5,0,24416,26223.5,30298.5,6078846,581654
20160114,23085,0,24454.5,30911.5,35300,6556328,579481.5
20160115,34795.5,0,24570,32610,38326,6437617,593094
20160118,25927,0,24748.5,32362.5,35826,6467559.5,586075.5
20160119,39312.5,0,25123,28366.5,33094.5,6847570.5,613281.5
20160120,47369,0,25025,31186,36214,7679715.5,729791.5
20160121,24911,0,24857,34141.5,38275,7794799.5,753683
20160122,40209,0,25063.5,30864,36000.5,7771289.5,719528
20160125,27162.5,0,25025,21886,25758.5,6235309,584024.5
20160126,18396.5,0,24703,28160.5,31859,6165878,587540
20160127,16476.5,0,25140.5,30015,34001,6869625.5,590268
20160128,30944.5,0,24878,23475,30580,6619444.5,602330.5
20160129,36370,0,25375,22201.5,26792,8415573.5,718996.5
20160201,25057,0,25133.5,22535.5,26347.5,6834196,589490.5
20160202,22608.5,0,25263,25603.5,29617,6705389.5,593538.5
20160203,23618,0,24972.5,25705.5,31577.5,6363272,624456
20160204,23998,0,25123,22081,25966,5689059,527413
20160205,21599.5,0,25235,18354.5,22025,5259855,475374.5
20160211,5123,0,24608.5,6761.5,9594.5,4317932,576560.5
20160212,11159.5,0,24510.5,8159.5,12538,4773219,560885
20160215,11003,0,25119.5,20325.5,25331,5287137.5,528424
20160216,20452,0,25483.5,21500.5,26856.5,5843195,566648
20160217,25624.5,0,25434.5,20438.5,25752,6052828,583820
20160218,17440.5,0,25795,17682,21783,5883066,624969
20160219,27117.5,0,25767,15727,18889,5052836,515561.5
20160222,18444,0,26103,15775.5,19827,5515343,519065.5
20160223,14209.5,0,26012,19351,24060.5,5710357,524064
20160224,7518.5,0,25707.5,37469,43584,5769387.5,551728
20160225,4776,0,25539.5,33246,38441,6144158,567139
20160226,16347.5,0,25196.5,25422.5,30294,6064774.5,533156.5
20160229,24939,0,24906,22855,27336,6148167.5,573367.5
20160301,22903.5,0,24899,19332.5,23395.5,6051948,550205
20160302,21826.5,0,25445,18629.5,23778,6224887.5,738484.5
20160303,20199,0,25186,16185.5,20625,6242646,633477.5
20160304,27176,0,25350.5,22360,27489.5,6989735,680670
20160307,30077,0,25357.5,18008.5,22950.5,6214280,646970.5
20160308,27241,0,25228,20164,24748.5,6204079.5,555972.5
20160309,30641.5,0,25312,14660.5,19708.5,5376946,522354
20160310,35494,0,25501,15155,20615.5,5432731,498574.5
20160311,43557,0,25662,20879,25873,6392897,550293.5
20160314,39348.5,0,25921,20989.5,25612,5766590.5,587809.5
20160315,43603,0,25704,15504,20665,5498200.5,488677
20160316,37291,0,25721.5,19342.5,25457,5687791.5,517416
20160317,33875.5,0,25910.5,19730.5,26415,6023876.5,607314
20160318,36170,0,25945.5,16758,23535.5,6236782.5,718280
20160321,23567.5,0,25970,16625,24588.5,5794232.5,652835.5
20160322,28375.5,0,25935,12649,18302.5,5104449,599347.5
20160323,30789,0,25448.5,13244.5,19484.5,4845777,531737.5
20160324,36080,0,25242,16195.5,22735.5,5120126,546737
20160329,19429.5,0,25368,14634.5,19338.5,5143906,551164
20160330,37215,0,25067,18148.5,26194,5754013,657394
20160331,33470.5,0,24927,16558,23802.5,5517372,653475
20160401,51921.5,0,24923.5,21945.5,29583,6082123.5,576466
20160405,40608,0,24717,16689.5,23984.5,5901946.5,636223
20160406,34362.5,0,24790.5,14026.5,20542.5,5103033,532689
20160407,41857,0,24909.5,17538,24259.5,5107825.5,515709.5
20160408,48838,0,24864,18102.5,24272,5448470,497257.5
20160411,59876,0,25070.5,23001,30451,5946762.5,507811
20160412,52562,0,25179,19716.5,26170,5265144,498907
20160413,29439,0,25644.5,23676,31757.5,6612885.5,709038
20160414,35081,0,25357.5,18404,24831.5,6088197.5,666133
20160415,30759,0,25200,14410.5,18154.5,5024111,509092.5
20160418,32261,0,25158,15958.5,20769,4805675.5,479438
20160419,26152.5,0,25406.5,15283,21244,5112345.5,560146.5
20160420,41473.5,0,25693.5,20996,25557,6646475,622183.5
